Электрмен жабдықтау жүйелерінің сенімділігі;Нaдежнoсть систем электрoснaбжения
Электрлік сұлбалар және ақпараттық өлшеуіш аспаптар;Электрические схемы и информационно – измерительные приборы
ЭТН 1;ТОЭ 1
Электр қамту жүйесіндегі өтпелі процестер;Перехoдные прoцессы в СЭС
Электромеханика және электротехникалық жабдықтар;Электрoмехaникa и электрoтехническoе oбoрудoвaние
Дәстүрлі емес және жаңартылатын энергия көздері;Нетрaдициoнные и вoзoбнoвляемые истoчники энергии
Электр энергетикасы /1/;Электроэнергетика /1/
Электр жетегі;Электропривод
Өнеркәсіптік электроника;Промышленная электроника
Электроника;Электроника
Өндірістік процестерді автоматтандыру;Автоматизация производственных процессов
ЭТН-2;ТОЭ-2
Электр машиналары;Электрические машины
Электрлік жарықтандыру жабдығы;Оборудование электрического освещения
Электр желілері мен жүйелері;Электрические сети и системы
Электр станциялары мен қосалқы станциялар;Электрические стaнции и пoдстaнции
Өнеркәсіптік қауіпсіздік;Промышленная безопасность
Электр қамту жүйесіндегі релелік қорғаныс және автоматика;Релейнaя зaщитa и aвтoмaтикa в СЭС
Электр жабдықтарын жөндеу;Ремонт электрооборудования
Өнеркәсіптік кәсіпорындарды электрмен жабдықтауды жобалау;Проектирование электроснабжения промышленных предприятий
Электр қауіпсіздігі;Электробезопасность
Автоматты реттеудің сызықтық жүйелері;Линейные системы автоматического регулирования
Сандық схемотехника;Цифровая схемотехника
Электр машиналары мен электр жетектері;Электрические машины и электроприводы
Автоматты реттеудің сызықтық емес жүйелері;Нелинейные системы автоматического регулирования
Электротехниканың теориялық негіздері;Теоретические основы электротехники
Автоматтандыру және басқару негіздері /1/;Основы автоматизации и управления /1/
Басқару жүйесіндегі микропроцессорлық кешендер;Микропроцессорные комплексы в системе управления
Деректерді сақтау және талдау;Хранение и анализ данных
Автоматтандырылған басқару жүйелерін жобалау;Проектирование автоматизированных систем управления
Энергетика объектілері мен басқару жүйелерінің диагностикасы;Диагностика объектов энергетики и систем управления
Жылу энергиясын өндірудің технологиялық негіздері;Технологические основы производства тепловой энергии
Жылу станцияларының технологиялық процестерін автоматтандыру және басқару;Автоматизация и управление технологическими процессами тепловых станций
Электр энергетикалық жүйелердегі автоматтандырылған басқару жүйелері;Автоматизированные системы управления в электроэнергетических системах
Электр энергиясын бақылау мен есепке алудың автоматтандырылған жүйесі;Автоматизированная система контроля и учета электроэнергии
Автоматика элементтері мен құрылғылары;Элементы и устройства автоматики
SCADA жүйелері;SCADA‑системы
Ақпараттық қауіпсіздік және ақпаратты қорғау;Информационная безопасность и защита информации
Автоматтандырылған электр жетегі;Автоматизированный электропривод
Тілдер және бағдарламалау технологиясы;Языки и технологии программирования      
Алгоритмдеу  және бағдарламалау;Алгоритмизация и программирования
Электронды коммерция;Электронная коммерция
РНР бағдарламалау /1/;PHP программирование 
HTML және CSS негіздері;Основы HTML и CSS
Компьютер  сәулеті;Архитектура компьютера
Есептеу жүйелерін және желілерін ұйымдастыру;Организация вычислительных систем  и сетей
Компьютерлік ақпаратты қорғау әдістері мен құралдары;Методы и средства защиты компьютерной  информации
Есептеу кешендерінің операциялық жүйелері;Операционные системы вычислительных комплексов
Компьютерлік желілер;Компьютерные сети
Деректер қорының технологиясы;Технология баз данных
Компьютерлік графика /1/;Компьютерная графика /1/
С#   тілінде қосымшаларды өңдеу /1/;Разработка приложений в С#   /1/
Деректер базасын басқару және әзірлеу /1/;Администрирование и разработка баз данных /1/
РНР бағдарламалау /3/;PHP программирование /3/
Ақпарат теориясы;Теория информации
Инженерлiк графика;Инженерная графика
3D- модельдеу;3D‑моделирование
Бағдарламаларды өңдеудің құрал-жабдықтары;Инструментальные средства разработки программ
Кодтау теориясы;Теория кодирования
Нысанаға бағытталған бағдарламалау;Объектно-ориентированное программирование
С# тілінде қосымшаларды өңдеу;Разработка приложений в С#      
Java тілінде бағдарламалау;Программирование на языке Java
Ақпараттық-коммуникациялық технологиялар;Информационно-коммуникационные технологии 
Жасанды интеллект негіздері;Основы искусственного интеллекта
Математика;Математика
Физика;Физика
Электротехника негіздері;Основы электротехники
Тамақ биохимиясы;Пищевая биохимия
Қазіргі тағамдық инженерия;Современная пищевая инженерия
Басқару жүйелеріндегі стандарттау және сертификаттау;Стандартизация и сертификация в системах управления
Экология және тұрақты даму;Экология и устойчивое развитие
Басқару әдістері және қоршаған ортаға әсерді бағалау;Методы управления и оценка воздействия окружающей среды
Метрология, стандарттау және сертификаттау;Метрология, стандартизация и сертификация 
Аналитикалық химия;Аналитическая химия
Тіршілік әрекетінің қауіпсіздігі;Безопасность жизнедеятельности
Өндірістік желдету;Промышленная вентиляция
Өнеркәсіптік қауіпсіздікті техникалық реттеу;Техническое регулирование промышленной безопасности
Өнеркәсіптік және техникалық қауіпсіздік негіздері;Основы промышленной и технической безопасности
Авариялық-құтқару жұмыстарын ұйымдастыру мен жүргізу және оларды техникалық қамтамасыз ету;Организация и ведение аварийно-спасательных работ и их техническое оснащение
Жұмыс орындарын аттестаттау әдістемесі;Методика аттестации рабочих мест
Өрт қауіпсіздігі негіздері;Основы пожарной безопасности
Жазатайым оқиғалар кезінде дәрігерге дейін көмек көрсетудің әдістемесі мен әдістері;Методика и способы оказания доврачебной помощи при несчастных случаях
Еңбекті қорғау;Охрана труда
Ғимараттар мен құрылыстарды өрттен қорғау;Пожарная защита зданий и сооружений
Еңбек физиологиясы;Физиология труда
Экологиялық қауіпсіздік саласындағы заңнамалық және нормативтік актілер;Законодательные и нормативные акты в сфере экологической безопасности 
Техникалық және өнеркәсіптік қауіпсіздік саласындағы заңнамалық және нормативтік актілер;Законодательные и нормативные акты в сфере технической и промышленной безопасности  
Өндірістік санитария;Производственная санитария
Қоршаған ортаның химиялық ластануы;Химическое загрязнение окружающей среды
Химиялық және биологиялық қауіпсіздік негіздері;Основы химической и биологической безопасности
Паразитология және инвазиялық аурулар;Паразитология и инвазионные болезни
Практикалық хирургия;Практическая хирургия
Зертханалық іс;Лабораторное дело
Жануарлар морфологиясы;Морфология животных
Жануарлар физиологиясы;Физиология животных
Жануарлар биохимиясы;Биохимия животных
Мал шаруашылығы және мал азықтандыру;Животноводство и кормление животных
Жануарлар патологиясы /1/;Патология животных /1/
Ветеринарлық генетика;Ветеринарная генетика
Ветеринарлық микробиология және вирусология /1/;Ветеринарная микробиология и вирусология /1/
Ветеринарлық гигиена және санитария;Ветеринарная гигиена и санитария
Жалпы және жеке хирургия;Общая и частная хирургия
Ветеринарлық микробиология және вирусология  /2;Ветеринарная микробиология и вирусология /2/
Соттық ветеринария;Судебная ветеринария
Індеттану және жануарлардың індетті аурулары /1/;Эпизоотология и инфекционные болезни животных /1/
Алғашқы ветеринарлық көмек;Первая ветеринарная помощь
Ветеринарлық фармакология және токсикология /1/;Ветеринарная фармакология и токсикология /1/
Індеттану және жануарлардың індетті аурулары /2/;Эпизоотология и инфекционные болезни животных /2/
Індеттану және жануарлардың індетті аурулары;Эпизоотология и инфекционные болезни животных
Жалпы хирургия;Общая хирургия
Жануарлардың спецификалық жұқпалы емес аурулары;Специфические незаразные болезни животных
Терапевтикалық техника;Терапевтическая техника
Ветеринарлық акушерлік;Ветеринарное акушерство 
Жануарлардың эмерджентті және трансшекаралық аурулары;Эмерджентные и трансграничные болезни животных
Патологияны диагностикалаудың, емдеудің және алдын алудың инновациялық әдістері;Инновационные методы диагностики, лечения и профилактики патологий
Ветеринарлық биологиялық препараттар;Ветеринарные биологические препараты
Ветеринариядағы менеджмент;Менеджмент в ветеринарии
Ішкі жұқпалы емес аурулары;Внутренние незаразные болезни
Практикалық терапия;Практическая терапия
Ветеринариялық хирургия /2/;Ветеринарная хирургия /2/
Паразитология және инвазиялық аурулар /2/;Паразитология и инвазионные болезни  /2/
Ветеринарлық істі ұйымдастыру;Организация ветеринарного дела
Оперативтік хирургия;Оперативная хирургия
Ветеринарлық андрология;Ветеринарная андрология
Ауыл шаруашылық жануарларын жасанды ұрықтандыру;Искусственное осеменение сельскохозяйственных животных  
Гинекологиялық аурулар;Гинекологические болезни
Төл аурулары;Болезни молодняка
Химия;Химия
Еңбекті қорғау және өнеркәсіптік экология;Охрана труда и промышленная экология
Органикалық химия;Органическая химия
Экология, бизнес және құқық негіздері;Основы экологии, бизнеса и права
Сызба геометриясы және инженерлік графика;Начертательная геометрия и инженерная графика
Ғылыми зерттеу жұмыстарының негіздері;Основы научно‑исследовательской работы
Дене шынықтыру;Физическая культура
Қазақстан тарихы;История Казахстана
Шетел тілі;Иностранный язык
Орыс тілі;Русский язык
Қазақ тілі;Казахский язык
Философия;Философия
Кәсіби шетел тілі;Профессиональный иностранный язык
Кәсіби орыс тілі;Профессиональный русский язык
Кәсіби қазақ тілі;Профессиональный казахский язык
Жер мен жылжымайтын мүлікті бағалау;Оценка земли и недвижимости
Жылжымайтын мүлік нарығы;Рынок недвижимости имущества
Жерді пайдалану экономикасы;Экономика землепользования
Мемлекет және құқық теориясы;Теория государства и права
Қазақстан Республикасының қылмыстық құқығы (жалпы бөлім);Уголовное право Республики Казахстан (общая часть)
Қазақстан Республикасының азаматтық құқығы (жалпы бөлім);Гражданское право Республики Казахстан (общая часть)
Жедел-іздестіру қызметі;Оперативно-розыскная деятельность
Қазақстан Республикасының әкімшілік құқығы;Административное право Республики Казахстан
Прокурорлық қадағалау;Прокурорский надзор
Қазақстан Республикасының еңбек құқығы;Трудовое право Республики Казахстан
Қазақстан Республикасының қылмыстық құқығы (ерекше бөлім);Уголовное право Республики Казахстан (особенная часть)
Құқық қорғау органдары;Правоохранительные органы
Қазақстан Республикасының Азаматтық құқығы (ерекше бөлім);Гражданское право Республики Казахстан (особенная часть)
Заңгердің кәсіби этика және сыбайлас жемқорлыққа қарсы мәдениет;Профессиональная этика юриста и антикоррупционная культура
Сот сараптамасы;Судебная экспертология
Қылмыстарды тергеуде ақпараттық технологияны қолдану;Применения информационной технологии в расследовании преступлений
Криминология;Криминология
Атқарушылық іс жүргізу;Исполнительное производство
Қылмыстық атқару құқығы;Уголовное исполнительное право
Қылмыстық құқық бұзушылықтарды тергеу теориясы мен практикасы;Теория и практика расследования уголовных правонарушений
Криминалистика;Криминалистика
Халықаралық құқық;Международное право       
Азаматтық іс жүргізу құқығы  /1/;Гражданское процессуальное право /1/
Әкімшілік рәсімдік-процестік құқық /1/;Административное процедурно-процессуальное право /1/
Қылмыстық іс жүргізу құқығы   /1/;Уголовно-процессуальное право /1/
Сот медицинасы мен психиатрия негіздері;Основы судебной медицины и психиатрии
Қаржылық сауаттылық;Финансовая грамотность
Экономика, құқық, кәсіпкерлік және қаржылық сауаттылық негіздері;Основы экономики, права, предпринимательства и финансовой грамотности
Құрылыс материалдары;Строительные материалы
Ғимараттар мен құрылыстардың инженерлік жүйелері;Инженерные системы зданий и сооружений
Құрылыс өндірісінің технологиясы;Технология строительного производства
Құрылыс конструкциялары  1;Строительные конструкции 1
Құрылыс конструкциялары  2;Строительные конструкции 2
Құрылыс механикасы;Строительная механика
Құрылыс ісінің негіздері;Основы строительного дела
Қала құрылысының негіздері;Основы градостроительства
Құрылыс жұмыстарының инновациялық технологиялары;Инновационные технологии строительных работ
Геотехника;Геотехника
Құрылыс конструкциялары;Строительные конструкции
Геодезия;Геодезия
Қазіргі кездегі композициялық материалдар         ;Современные композиционные материалы
Құрылыс құрылымдары;Строительные конструкции
Бетондау технологиясы;Технология бетонирования
Ғимараттар мен имарттардың инженерлік жүйелері;Инженерные системы зданий и сооружений
Құрылыс өндірісінің технологиясы 2;Технология строительного производства 2
Сәулет;Архитектура
Құрылыс машиналары және жабдықтары;Строительные машины и оборудование
Құрылыстағы сметалық іс;Сметное дело в строительстве
Металл конструкциясы;Металлические конструкции
Азаматтық ғимараттардың құрылысы мен энергия тиімді жобалауы;Энергоэффективное проектирование и строительство гражданских зданий
Қолданбалы геодезия;Прикладная геодезия
Геодезия /2/;Геодезия /2/
Топография;Топография
Картография;Картография
Жер ресурстарын басқару;Управление земельными ресурсами
Топырақтану және геология негіздері;Основы геологии и почвоведение
Жерге орналастырудағы геоақпараттық технологиялар;Геоинформационные технологии в землеустройстве
Жерге орналастырудың теориялық негіздері;Теоретические основы землеустройства
Аудандық жоспарлау;Районная планировка
Су кадастры;Водный кадастр
Орман кадастры;Лесной кадастр
Қалалық аймақты басқару;Управление городскими территориями
Жер шаруашылығы құрылысы және елді мекендерді жоспарлау;Земельно-хозяйственное устройство и планировка населенных мест
Шаруашылық аралық жерге орналастыру;Межхозяйственное землеустройство
Агроқұрылымдарды ішкішаруашылық жерге орналастыру;Внутрихозяйственное землеустройство агроформирований
Жерді мемлекеттік тіркеу және есепке алу;Государственная регистрация и учет земель
Жер қорының ақпараттық жүйесі;Информационная система земельного фонда
Жалпы гидравлика;Общая гидравлика
Технологиялық машиналарды жөндеу;Ремонт технологических машин
Технологиялық машиналарды монтаждау және пайдалану;Монтаж и эксплуатация технологических машин
Машина бөлшектері;Детали машин
Мұнай және газ өнімдерін жинау және дайындау жүйесінің жабдықтары;Оборудование системы сбора и подготовки нефти и газa
Гидравликалық машиналар және компрессорлар;Гидромашины и компрессоры
Технологиялық машиналарды автоматтандыру;Автоматизация технологических машин
Гидропневматикалық машиналар мен жетектер;Гидропневматические машины и приводы
Технологиялық машиналардың АЖЖ;САПР технологических машин
Мұнай және газ кәсіпшілік машиналары мен жабдықтары;Машины и оборудование нефтяных и газовых промыслов
Электротехникалық материалтану;Электротехническое материаловедение
Бұрғылау жабдықтары;Буровое оборудование
Жүк және коммерциялық жұмыстарды ұйымдастыру;Организация грузовой и коммерческой работы
Автомобиль көлігін пайдалану;Эксплуатация автомобильного транспорта
Көлік логистикасы;Транспортная логистика
Көлік құралдарының қауіпсіздігі;Безопасность транспортных средств
Көліктегі еңбекті қорғау;Охрана труда на транспорте
Іштен жану қозғалтқыштарының теориясы;Теория двигателя внутреннего сгорания
Біртұтас көлік жүйесі;Единая транспортная система
Автомобильдерге техникалық қызмет көрсетуді ұйымдастыру;Организация технического обслуживания автомобилей
Автомобиль көлігінің сенімділігі;Надёжность автомобильного транспорта
Автомобиль көлігінің динамикасы;Динамика автомобильного транспорта
Көлік техникасын техникалық пайдалану;Техническая эксплуатация транспортной техники
Машиналар мен механизмдер теориясы;Теория машин и механизмов
Көлік техникасының энергетикалық қондырғылары;Энергетические установки транспортной техники
Автомобиль көлігіндегі жүк және коммерциялық жұмыстарды ұйымдастыру;Организация грузовой и коммерческой работы на автомобильном транспорте
Интеллектуалды көлік жүйелері;Интеллектуальные транспортные системы
Автомобильдің гидравликалық және пневматикалық жүйелерін жобалау және пайдалану;Конструкция и эксплуатация гидравлических и пневмотических систем автомобиля
Жылу техникасы;Теплотехника
Автомобильдер құрылысы;Устройство автомобилей
Жол қозғалысының ережелері;Правила дорожного движения
Тиеу-түсіру жұмыстарының технологиясы және механизациясы;Технология и механизация погрузочно-разгрузочных работ
Жол қозғалысын ұйымдастыру;Организация дорожного движения
Автопайдалану материалдары;Автоэксплуатационные материалы
Автомобиль көлігін техникалық пайдалану негіздері;Основы технической эксплуатации автомобильного транспорта
Автомобиль көлігіндегі қозғалыс қауіпсіздігін қамтамасыз ету;Обеспечение безопасности дорожного движения
Автомобильдерді жөндеуді ұйымдастыру;Организация ремонта автомобилей
Автомобиль көлігінде жүк тасымалдауды ұйымдастыру;Организация грузовых перевозок автомобильным транспортом
ЖКО сараптау;Экспертиза ДТП
АКК базасын жөндеу және техникалық қызмет көрсетуді ұйымдастыру;Организация ремонтно-обслуживающей базы АТП
Автокөлік жолдары;Автомобильные дороги
Көлік лектерінің сипаттамасы;Характеристика транспортных потоков
Тасымалдауды ұйымдастыру және қозғалысты басқару;Организация перевозок и управление движением
Көлік процестері мен жүйелерінің теориясы;Теория транспортных процессов и систем
Жүктану;Грузоведение
Сұйықтық пен газ механикасы;Механика жидкости и газа
Теориялық механика;Теоретическая механика
Материалтану. Конструкциялық материалдар технологиясы;Материаловедение. Технология конструкционных материалов
газ және газконденсатты кен орындарын игеру;Разработка  газовых и газоконденсатных месторождений
жер асты гидромеханикасы;Подземная гидромеханика
күрделі жағдайларда ұңғымаларды пайдалану;Эксплуатация скважин в осложненных условиях
кәсіпшілік геофизикасы;Промысловая геофизика
машиналар мен жабдықтарды пайдалану және жөндеу;Эксплуатация и ремонт машин и оборудования
мұнай - газ ісі негіздері;Основы нефтегазового дела
мұнай газ кәсіпшілік жабдықтарын тоттанудан қорғау;Противокоррозионная защита нефтегазопромыслового  оборудования
мұнай және газ геологиясының негіздері;Основы геологии нефти и газа
мұнай және мұнай өнімдерінің тауарлық-тасымалдау операциялары;Товарно-транспортные операции нефти и нефтепродуктов
мұнай кен орындарын игеру;Разработка нефтяных месторождений
мұнай мен газдан отын өндірудің арнайы технологиялары;Специальные технологии производства топлив из нефти и газа
мұнай мен газды біріншілік өңдеу технологиясы;Технология первичной переработки нефти и газа
мәдениеттану;Культурология
органикалық заттарды өңдеудің теориялық негіздері;Теоретические основы переработки органических веществ
психология;Психология
сорап және компрессорлық станциялар;Насосные и компрессорные станции
технологиялық процестерді автоматтандыру негіздері;Основы автоматизации технологических процессов
Мұнай өңдеу және химия өндірістерінің машиналары мен аппараттары;Машины и аппараты нефтеперерабатывающих и химических производств
Мұнай және мұнай өнімдерінің сапасын бақылау;Контроль качества нефти и нефтепродуктов
Ұңғымалардың түп маңы аймағын қалыптастыру;Формирование призабойной зоны скважин
Ұңғыма өнімдерін жинау және дайындау;Сбор и подготовка скважинной продукции
газ-мұнай құбырлары;Газонефтепроводы
Мұнай және газ ұңғымаларын бұрғылау технологиясы;Технология бурения нефтяных и газовых скважин
Мұнай және газ өндіру техникасы мен технологиясы;Техника и технология добычи нефти и газа
Өнеркәсіптік желдету;Промышленная вентиляция
Өндірісті автоматтандыру негіздері;Основы автоматизации производства
Java Script бағдарламалау тілі;Язык программирования JavaScript
Автокөлікке қызмет көрсету және фирмалық автомобильдерге қызмет көрсету;Техническое обслуживание автотранспорта и фирменный сервис
Автоматтандыру және басқару негіздері /2/;Основы автоматизации и управления /2/
Ветеринарлық микробиология және вирусология /2/;Ветеринарная микробиология и вирусология /2/
Ветеринарлық фармакология және токсикология /2/;Ветеринарная фармакология и токсикология /2/
Газ-мұнай құбырлары;Газонефтепроводы
Жобалау негіздері және кәсіпорынның жабдықтары;Основы проектирования и оборудование предприятия
Жобалаудағы BIM технологиясының негіздері;Основы BIM-технологий в проектировании
Жоғары кернеулер техникасы;Техника высоких напряжений
Жүк және жолаушылар тасымалын ұйымдастыру;Организация грузовых и пассажирских перевозок
Киберқауіпсіздіктегі технологиялар;Технологии в кибербезопасности
Киберқауіпсіздікті құқықтық қамтамасыз ету;Правовое обеспечение кибербезопасности
Компьютер сәулеті;Архитектура компьютера
Көмірсутекті газдарды өңдеу технологиясы;Технология переработки углеводородных газов
Материалдар кедергісі;Сопротивление материалов
Машиналар мен жабдықтарды пайдалану және жөндеу;Эксплуатация и ремонт машин и оборудования
Мұнай және газ химиясы және физикасы;Химия и физика нефти и газа
Мұнай және газ ұңғымаларын бекіту сынау және игеру;Крепление, испытание и освоение нефтяных и газовых скважин
Мұнай және газ өндіру машиналары мен жабдықтары;Машины и оборудование для добычи нефти и газа
Мұнай мен газды тасымалдауға дайындау технологиясы;Технология подготовки нефти и газа к транспорту
Мұнай өндіру процесін бақылау және реттеу;Контроль и регулирование процесса добычи нефти
Мұнай өндіру техникасы мен технологиясы;Техника и технология добычи нефти
Мұнай өңдеудегі нанотехнология;Нанотехнологии в нефтепереработке
Мұнайгаз кәсіпшілік жабдықтары;Нефтегазопромысловое оборудование
РНР бағдарламалау /2/;Программирование на PHP /2/
РНР бағдарламалау /4/;Программирование на PHP /4/
Радиациялық қауіпсіздік негіздері;Основы радиационной безопасности
С# тілінде қосымшаларды өңдеу /2/;Разработка приложений на языке C# /2/
Саясаттану;Политология
Табиғатты пайдалануды экологиялық-экономикалық бағалау;Эколого-экономическая оценка природопользования
Теңіз кәсіпшілігінде ұңғыма өнімін жинау жүйесі;Система сбора скважинной продукции на морских промыслах
Тұтас құймалы ғимараттар мен имараттарды тұрғызу;Возведение монолитных зданий и сооружений
Халықаралық қылмыстық құқық;Международное уголовное право
ЭТН 2;ТОЭ 2
Экономика құқық кәсіпкерлік және қаржылық сауаттылық негіздері;Основы экономики, права, предпринимательства и финансовой грамотности
Қылмыстарды саралаудың теориялық негіздері және жаза тағайындау;Теоретические основы квалификации преступлений и назначение наказания
Қылмыстық сот ісін жүргізуде дәлелдеу;Доказывание в уголовном судопроизводстве
Құрылыстағы автоматтандырылған жобалау жүйесі;Системы автоматизированного проектирования (САПР) в строительстве
Әкімшілік рәсімдік-процестік құқық /2/;Административное процедурно-процессуальное право /2/
Әлеуметтану;Социология
Өндірістік объектілер мен техникалық құрылғылардың қауіпсіздігін сараптау;Экспертиза безопасности производственных объектов и технических устройств
Өндірістік қауіпсіздікті техникалық реттеу;Техническое регулирование промышленной безопасности
Өнеркәсіптік кәсіпорындардың энергия аудиті;Энергоаудит промышленных предприятий